sym,date,ID,AreaID,Type,Commit Time,Entry Time,Exit Time,total_tp_exits,last_tp_exit_time,Entry Price,Exit Price,Avg Entry Price,Num Transact,Last Max Shares,Initial Qty,Target Qty,Side Win Lose,Total P/L,ROE (P/L %),Slippage Costs,Transaction Costs,holding_time,profitable_time,profitable_time_pct,first_negpl_time,first_pospl_time,last_negpl_time,last_pospl_time,max_shares_reached_pct,max_shares_reached_time,body_above_buy_price_time,wick_above_buy_price_time,max_pl_body,min_pl_body,max_pl_wick,min_pl_wick,max_plpc_body,min_plpc_body,max_plpc_wick,min_plpc_wick,max_pl_body_time,min_pl_body_time,max_pl_wick_time,min_pl_wick_time,breakout_pre_vwap_dist,breakout_post_vwap_dist,breakout_pre_vwap_std,breakout_post_vwap_std,breakout_pre_vwap_std_close,breakout_post_vwap_std_close,avg_vwap_dist,avg_vwap_std,avg_vwap_std_close,best_vwap_std_close,worst_vwap_std_close,best_vwap_std_close_time,worst_vwap_std_close_time,avg_entry_price_diff,avg_central_value_dist,avg_prior_central_value_dist,net_price_diff_body,best_price_diff_body,worst_price_diff_body,best_price_diff_wick,worst_price_diff_wick,best_price_diff_body_time,worst_price_diff_body_time,best_price_diff_wick_time,worst_price_diff_wick_time,ref_price,ref_area_width,avg_area_width,market_phase_inc,market_phase_dec,doji_ratio,mfi_divergence,rsi_divergence,abs_doji_ratio,wick_ratio,nr4_hl_diff,nr7_hl_diff,volume_ratio,ATR_ratio,entry_time_since_latest_touch,entry_time_since_min_touch,entry_touch_formation_time,entry_touch_density,entry_touch_regularity,entry_atr_trend,entry_num_touches,open,high,low,close,volume,trade_count,vwap,MACD,MACD_signal,MACD_hist,MACD_hist_roc,RSI,RSI_roc,MFI,MFI_roc,VWAP,VWAP_dist,VWAP_std,VWAP_std_close,central_value,central_value_dist,exit_ema,exit_ema_dist,is_res,H_L,ATR,MTR,avg_volume,avg_trade_count,log_return,volatility,rolling_range_min_4,rolling_range_min_7,rolling_ATR,ADX,trend_strength,buy_vol_balance,buy_vol_concentration,buy_vol_kurtosis,buy_hvn_balance,buy_hvn_concentration,buy_hvn_avg_prominence,sell_vol_balance,sell_vol_concentration,sell_vol_kurtosis,sell_hvn_balance,sell_hvn_concentration,sell_hvn_avg_prominence
MARA,2025-01-02,0,198,Short,13:51:00,13:53:00,13:58:00,0,,17.00477237209249,17.07,17.00478435116498,3,93,8,93,Short Lose,-0.948992,-0.46506111346,0.125275,0.103716,5,0,0.0,1.0,,5.0,,12.9,4,3,5,0.0,-0.9489916733,0.0,-1.0689907368,0.0,-0.4650611135,0.0,-0.5238676337,2,7,2,7,0.1795233438,-0.1386797417,0.0459132474,0.1183971072,3.9100554651,-1.1713102197,-0.0255094546,0.0437511807,-0.7846390109,1.3982113738,-2.2711369123,4.0,6.0,-7.0403e-05,0.2102586856,0.2179057913,-0.2644725242,0.0922715251,-0.2644725242,0.1216573612,-0.3820158684,1,7,0,7,17.015,0.069,0.069,0.674359,0.325641,0.375,-0.0,-0.0,0.375,2.666667,0.01,0.01,0.803236,0.976973,3.0,4.0,10.0,0.169231,0.837468,-0.000306,11,17.03,17.055,17.015,17.015,32559.0,173.0,17.029786,0.0177269471,0.0082962483,0.0068589766,0.0012858611,40.5716031067,2.9065715859,50.274959434,7.5510475306,17.4893398757,0.4743398757,0.3333297861,1.4230347708,17.0736416127,0.0586416127,17.0707543526,0.0557543526,False,0.04,0.0440005659,0.04,40534.7724820888,198.0806811323,-0.0008811867,0.0018566867,0.03,0.03,0.0450376459,25.4620338681,12.9223277408,-0.4419762566,0.3961139179,-1.3160643528,-1.0,0.8171647125,0.0041493133,-0.4363872009,0.4157000259,-1.3573836303,-1.0,0.8151859408,0.003927112
MARA,2025-01-02,1,254,Long,14:23:00,14:23:00,14:31:00,0,,17.145188389986373,17.11,17.173049213987607,6,70,4,70,Long Lose,-2.849142,-0.448399263077,0.389406,0.319736,8,0,0.0,1.0,,8.0,,52.86,5,8,9,0.0,-2.8491415666,0.851534357,-3.2191349825,0.0,-0.4483992631,0.140704585,-0.5066290039,0,8,6,8,0.2105081583,0.1250076509,0.0644103957,0.0964640506,3.2682326507,1.2958988362,0.0809092295,0.1110281432,0.7574695364,2.2326248597,-2.0799723697,1.0,8.0,0.1626434559,0.2832981446,0.0338463286,-0.1167542323,0.3210741389,-0.1167542323,0.4670169294,-0.2918855809,5,8,6,0,17.13,0.0650325,0.0650325,0.751282,0.248718,0.598,0.0,0.0,0.598,1.672241,0.03,0.03,1.340549,0.994938,1.0,1.0,19.0,0.205128,1.18099,-7.5e-05,8,17.1001,17.13,17.08,17.13,47038.0,276.0,17.103354,0.0077516448,-0.0002076646,0.0035755752,0.0021918671,57.1160535628,5.9298165299,50.0151245317,9.8855711638,17.4742798359,-0.3442798359,0.335832066,-1.0251547449,17.0888666404,0.0411333596,17.0912666862,0.0387333138,True,0.05,0.0381590826,0.0377,35088.6042831023,193.9543445124,0.0011682244,0.0010573402,0.02,0.02,0.038353222,23.6583096317,13.0005494601,-0.0908535586,0.4574393325,-2.3420992082,-0.6193323896,0.9041103091,0.0050016838,-0.039586318,0.430330845,-2.3576494219,-0.5558541263,0.8905741642,0.0039468354
MARA,2025-01-02,3,191,Short,14:47:00,14:47:00,14:49:00,0,,17.04474212433964,17.14,17.04474212433964,2,59,17,59,Short Lose,-1.855892,-0.640491499811,0.178981,0.146911,2,0,0.0,1.0,,2.0,,28.81,0,2,3,0.0,-1.855892116,0.0,-2.0088906121,0.0,-0.6404914998,0.0,-0.6932931877,0,2,0,2,0.2284163288,-0.2344654475,0.1053135967,0.0855176057,2.1689158463,-2.7417213745,-0.041634164,0.0484595377,-1.2286772652,0.934034168,-3.3913886985,1.0,2.0,0.0,0.0654563662,0.1546122309,-0.5266800389,0.0,-0.5266800389,0.030498176,-0.5794653435,0,2,1,2,17.0502,0.0684825,0.0684825,0.812821,0.187179,0.996,-0.0,-0.0,0.996,1.004016,0.025,0.0377,0.864248,0.985945,13.0,16.0,71.0,0.198413,2.762069,-0.000196,25,17.1,17.1,17.05,17.0502,25493.0,171.0,17.069896,0.0119456631,0.0074274761,0.0005128082,0.0020026894,41.6766488336,6.2104130308,55.3901907173,4.5947901618,17.4639737021,0.4137737021,0.3361761605,1.2308240462,17.101566123,0.051366123,17.1012134003,0.0510134003,False,0.05,0.038251785,0.035,29497.3108519976,185.9744946326,-0.0029165296,0.0013871376,0.025,0.0123,0.0387970679,21.1876795354,4.6726956498,-0.4135526865,0.4584087723,-2.2585818966,-1.0,0.9120437959,0.0050089562,-0.3683607636,0.426825493,-2.2772638096,-1.0,0.9131927172,0.0050037663
MARA,2025-01-02,4,258,Long,14:50:00,14:52:00,14:57:00,0,,17.155191443342684,17.08,17.17045660873692,3,93,5,93,Long Lose,-2.191147,-0.607673696403,0.219693,0.181454,5,0,0.0,1.0,,5.0,,22.58,3,2,5,0.0,-2.1911473156,0.0048925208,-2.1911473156,0.0,-0.6076736964,0.005703837,-0.6076736964,2,7,3,7,0.1003944962,-0.2713343091,0.0469701323,0.1312139816,2.1374113978,-2.0678765009,-0.0681312582,0.0370434231,-1.1872403745,5.2458141147,-4.6026569925,3.0,4.0,0.0890289182,0.1147996745,0.0282533989,-0.3575115331,0.1090614302,-0.3575115331,0.1382222404,-0.3866723433,3,7,3,7,17.1463,0.060375,0.060375,0.825641,0.174359,0.545,0.0,0.0,0.545,1.834862,0.0,0.0,0.841776,0.977092,9.0,29.0,35.0,0.125,0.856284,-0.000101,8,17.1354,17.15,17.13,17.1463,37792.0,202.0,17.140204,0.0140275982,0.0080650638,0.0047508893,0.0006058225,58.0680305066,2.5420668633,70.797864874,0.2604627475,17.4606559156,-0.3143559156,0.3362743298,-0.9348198411,17.108144241,0.038155759,17.1094814224,0.0368185776,True,0.02,0.0392246884,0.0375,44895.5393719382,254.4046732233,0.0009510946,0.0016033409,0.02,0.02,0.0401443291,21.2671842114,9.8197311619,-0.1787044849,0.4835381672,-2.5997432345,-0.7605866597,0.9295816562,0.0052835591,-0.1485591241,0.4278537779,-2.6088994889,-0.7212492735,0.9361115504,0.0047748896
MARA,2025-01-02,5,189,Short,14:58:00,14:58:00,15:04:00,0,,17.044804369948686,17.09,17.029131346915555,4,92,7,92,Short Lose,-2.243189,-0.439088508892,0.313863,0.259326,6,0,0.0,1.0,,6.0,,32.61,2,6,7,0.0,-2.2431887673,0.0868875869,-2.5131867314,0.0,-0.4390885089,0.0283301654,-0.4919387216,0,6,2,6,0.1870134499,0.0129958866,0.1672945081,0.0705498543,1.1178696302,0.1842085538,-0.0033241086,0.0587632956,0.710902824,5.7228237781,-2.571652532,1.0,6.0,0.0918716216,0.2635400473,0.1545594111,-0.1776115641,0.1746806802,-0.1776115641,0.2327121813,-0.2303674742,2,6,2,6,17.0597,0.0643425,0.0643425,0.841026,0.158974,0.676667,-0.0,-0.0,0.676667,1.477833,0.0049,0.01,0.970859,0.941424,1.0,1.0,44.0,0.251799,1.851389,-0.000191,35,17.08,17.08,17.05,17.0597,44885.0,304.0,17.063092,0.0124654931,0.0014277399,0.0051279091,0.0029549221,41.5448446853,5.5579398495,60.896950021,9.3805402519,17.4575566749,0.3978566749,0.3363021246,1.1830334863,17.110647534,0.050947534,17.1104761815,0.0507761815,False,0.03,0.0376451744,0.0373,46232.2580494257,262.181452239,-0.0014819287,0.0016863356,0.0251,0.02,0.0399874839,23.514179654,22.8981692545,-0.4298888154,0.4642420427,-2.4255634647,-1.0,0.8874537716,0.0049266425,-0.3904412757,0.4368343555,-2.4401134817,-1.0,0.9325788984,0.0052283682
MARA,2025-01-02,6,192,Short,15:05:00,15:17:00,15:19:00,0,,17.07482375461825,17.11,17.07482375461825,2,96,5,96,Short Lose,-0.244928,-0.286887779891,0.051715,0.043213,2,0,0.0,1.0,,2.0,,5.21,12,1,5,0.0,-0.2449279139,0.0,-0.2449279139,0.0,-0.2868877799,0.0,-0.2868877799,12,14,12,14,0.1522865859,0.0030439021,0.11694684,0.0332456627,1.3021864109,0.091557872,-0.0268734676,0.0112593874,-2.3027152877,-0.5481058662,-4.0573247091,13.0,14.0,0.0,-0.0823416509,0.1309326586,-0.1463700234,0.2634660422,-0.1463700234,0.4391100703,-0.1756440281,11,14,0,14,17.08,0.0684825,0.0684825,0.889744,0.110256,0.75,-0.0,-0.0,0.75,1.333333,0.0,0.0,0.675993,0.908129,43.0,46.0,71.0,0.154839,2.723229,-0.000186,24,17.095,17.095,17.075,17.08,32803.0,161.0,17.081806,0.0058072971,-0.0008711069,0.0036072842,0.0015355599,45.0446079218,3.4489070463,40.3307242118,6.9726294627,17.4476820529,0.3676820529,0.3370383062,1.0909206644,17.1017791499,0.0217791499,17.1045832295,0.0245832295,False,0.02,0.035364273,0.0399,48525.66950732,258.2076996792,-0.0005853088,0.0014767458,0.02,0.02,0.0389418836,25.3185973318,7.6048612992,-0.2567405583,0.4831249814,-2.6208300567,-1.0,0.9399045552,0.0066387626,-0.1615784934,0.4452824384,-2.6303087105,-1.0,0.9375078326,0.0057690077
MARA,2025-01-03,0,134,Long,12:01:00,12:02:00,12:10:00,0,,19.53532000511447,19.36,19.538247187942932,3,155,36,155,Long Lose,-9.807407,-0.984234117621,0.5435,0.443907,8,0,0.0,1.0,,8.0,,32.9,4,7,10,0.0,-9.8074068352,1.4135805463,-9.5524110216,0.0,-0.9842341176,0.1418615772,-0.9586437058,1,9,5,9,0.2870512095,0.0145160502,0.1954971257,0.0997468969,1.4683142193,0.1455288398,-0.0465525457,0.0792767212,-0.2567587814,3.8865738307,-4.2377005296,4.0,9.0,0.0149919735,0.2201972179,0.1197908676,-0.8194622279,0.0768245839,-0.8194622279,0.2852752881,-0.8194622279,4,9,0,9,19.525,0.08625,0.08625,0.389744,0.610256,0.496838,0.0,0.0,0.496838,2.012727,0.051,0.0757,0.895707,1.124814,2.0,8.0,10.0,0.333333,0.537645,-0.001259,6,19.47,19.53,19.4193,19.525,68204.0,446.0,19.48053,0.0221602938,0.0122824316,0.0045224846,0.0026776888,60.2604635932,5.1674819862,58.7020596463,5.1884802305,18.6656713549,0.8593286451,0.6948378467,1.2367326409,19.4347684805,0.0902315195,19.4392140531,0.0857859469,True,0.1107,0.0673105595,0.05,76145.4199325176,436.1655806692,0.0026000481,0.0016949355,0.0597,0.035,0.0598414785,15.4032156633,-1.792463336,-0.5490479964,0.3981086699,-0.7230421174,-1.0,0.7648895757,0.0025344919,-0.427044531,0.3054158051,-0.3403865231,-1.0,0.7186064036,0.0016682651
MARA,2025-01-03,1,214,Long,13:33:00,13:40:00,13:52:00,0,,19.475235768320267,19.36,19.475235768320267,2,75,18,75,Long Lose,-2.325295,-0.663319601012,0.188622,0.156673,12,0,0.0,1.0,,12.0,,24.0,7,8,17,0.0,-2.3252950115,0.0150006885,-2.3252950115,0.0,-0.663319601,0.0042791347,-0.663319601,7,19,10,19,0.2558963767,-0.0637926094,0.1287146555,0.0895613927,1.9880904445,-0.7122779962,-0.0561054708,0.0545821635,-0.9681684449,0.9383070514,-4.1086907392,14.0,19.0,0.0,0.1137548303,0.0065943113,-0.5023757545,0.0,-0.5023757545,0.1155772441,-0.5522023886,0,19,10,19,19.4675,0.061065,0.061065,0.641026,0.358974,0.918831,0.0,0.0,0.918831,1.088339,0.0,0.0,1.532828,1.122639,5.0,14.0,3.0,0.388889,1.19224,-0.000843,14,19.4392,19.47,19.4392,19.4675,76654.0,338.0,19.454009,0.0155927329,0.0100089753,0.0011159139,0.0022339219,59.1699742403,4.9010595991,55.8487235588,1.7581659765,18.8001480897,0.6673519103,0.6944394181,0.9609937063,19.4039512516,0.0635487484,19.4051397739,0.0623602261,True,0.0308,0.0448732422,0.0428,50008.2358150688,304.8621226857,0.0016708442,0.0012961027,0.0308,0.0308,0.039971198,21.4211828684,3.868155181,-0.3216202167,0.4411241452,-2.2966008119,-1.0,0.8948625872,0.0026486283,-0.3257132695,0.4126858673,-2.1624066738,-1.0,0.8889919321,0.0024819409
MARA,2025-01-03,2,197,Short,13:53:00,13:54:00,13:57:00,0,,19.30475005215916,19.39,19.30475005215916,2,110,17,110,Short Lose,-1.686653,-0.51394025219,0.17865,0.148003,3,0,0.0,1.0,,3.0,,15.45,1,1,3,0.0,-1.6866529787,0.0,-1.8566515559,0.0,-0.5139402522,0.0,-0.5657405411,1,4,1,4,0.314300555,-0.1596475466,0.1676086502,0.0525486396,1.8752048572,-3.0380909528,-0.0900266468,0.0403719254,-3.1876708372,-0.116511447,-6.5269866799,3.0,2.0,0.0,0.288656657,0.0749066929,-0.381568729,0.0,-0.381568729,0.0776598499,-0.4400724825,0,4,0,4,19.315,0.072795,0.072795,0.676923,0.323077,0.454545,-0.0,-0.0,0.454545,2.2,0.015,0.03,0.951197,1.18379,2.0,33.0,28.0,0.179104,0.963966,-0.000308,12,19.34,19.355,19.3,19.315,51938.0,279.0,19.32826,0.0350806681,0.0202934054,0.0098064987,0.002490382,30.6318830906,5.5418084058,35.047003381,3.3470907609,18.8138288033,-0.5011711967,0.6929248901,-0.7232691506,19.4141037783,0.0991037783,19.4098372541,0.0948372541,False,0.055,0.0511456416,0.0422,54602.7674972314,319.7940151505,-0.001551992,0.0014019616,0.04,0.025,0.043205003,32.9710390645,33.5641620783,-0.2802742286,0.4226707226,-2.6149544909,-0.8116862323,0.8550412823,0.0026504265,-0.2912616344,0.4339604233,-2.5156403882,-0.834927311,0.8630349521,0.0023237102
MARA,2025-01-03,3,227,Long,14:06:00,14:06:00,14:19:00,1,14:14:00,19.47520065971622,19.42,19.534981166809047,8,79,6,93,Long Lose,-10.140816,-0.558323361648,0.981144,0.809672,13,2,15.3846153846,1.0,8.0,13.0,9.0,100.0,9,13,14,0.3098467678,-10.1408160946,0.6898382783,-9.7458244558,0.0481441525,-0.5583233616,0.1071874317,-0.5365762895,9,13,9,13,0.2070810438,0.0294562975,0.1788740413,0.0476370556,1.1576919842,0.6183484089,0.0560844251,0.0793345412,0.8528679288,2.3812103985,-3.0316618561,6.0,13.0,0.3070390708,0.2807665568,0.0467477523,-0.2311248074,0.3579866461,-0.2311248074,0.4108885465,-0.2311248074,9,13,9,13,19.47,0.08625,0.08625,0.707692,0.292308,0.711111,0.0,0.0,0.711111,1.40625,0.01,0.01,1.437061,0.946853,1.0,1.0,32.0,0.387755,1.903943,0.000203,19,19.438,19.475,19.43,19.47,67041.0,452.0,19.456554,0.0179408482,0.0085361934,0.0053547248,0.002024965,59.8171431698,5.3986281338,58.3902978029,3.3160534785,18.822704815,0.647295185,0.6913663411,0.9362549874,19.4064317366,0.0635682634,19.4086624003,0.0613375997,True,0.045,0.0461898339,0.05,46651.4782916,305.6070325271,0.0018095458,0.0019190046,0.035,0.035,0.0487824534,22.7700327371,16.5541914019,-0.3504567048,0.4599265395,-2.4853067054,-1.0,0.9110341865,0.002806589,-0.3464753601,0.4175087408,-2.3876375305,-1.0,0.9031541755,0.0024161519
MARA,2025-01-03,5,167,Short,14:26:00,14:26:00,14:57:00,2,14:37:00,19.354809207546893,19.32,19.321256628970644,6,19,5,95,Short Win,1.814225,0.098838473065,1.008445,0.82733,31,23,74.1935483871,1.0,9.0,8.0,31.0,100.0,10,29,31,3.1443771596,-0.3954835233,3.5243751757,-1.9885823586,0.1713047886,-0.4086669304,0.1920069743,-0.4086669304,28,5,28,11,0.254815132,-0.1797490237,0.1716687457,0.081584229,1.4843420152,-2.2032324858,0.1411354284,0.1516839098,0.8025049808,2.6392431846,-2.6616704478,11.0,5.0,0.1732193009,0.2988873203,-0.0060687338,0.2839442437,0.6453278265,-0.2168301497,0.7227671657,-0.2581311306,28,5,28,5,19.37,0.069,0.069,0.758974,0.241026,0.381651,-0.0,-0.0,0.381651,2.620192,0.0245,0.0245,1.332479,1.18085,1.0,1.0,78.0,0.100775,1.401729,-0.000171,13,19.3908,19.4195,19.365,19.37,63112.0,287.0,19.393742,0.0299945831,0.0176369554,0.0076304644,0.0023635817,35.3861570095,5.5030638047,30.4090306145,3.3343639695,18.8407221127,-0.5292778873,0.6901898921,-0.7668583579,19.4558791972,0.0858791972,19.4526660688,0.0826660688,False,0.0545,0.044528718,0.04,47364.3415837772,272.2621328367,-0.0012898235,0.0015236846,0.03,0.03,0.0377090241,36.9747977815,29.4787732661,-0.2788783072,0.4678066188,-2.7002556728,-0.8598069676,0.8834103454,0.0023741479,-0.233352515,0.4262647116,-2.6306068663,-0.8832264291,0.9294787298,0.002190529
MARA,2025-01-03,6,194,Short,15:01:00,15:01:00,15:08:00,1,15:04:00,19.344746028260314,19.26,19.253691098097153,5,30,20,113,Short Win,1.67732,0.077041800251,1.209035,0.983645,7,6,85.7142857143,2.0,1.0,2.0,7.0,93.81,1,8,8,3.7777253107,-1.32232346,5.0366870127,-2.3726443267,0.3141144022,-0.0647311872,0.3658075357,-0.116147137,6,2,3,3,0.01489394,0.2020114013,0.1246828038,0.170822951,0.1194546443,1.1825776343,0.2188339032,0.2076439724,1.30528705,2.9255563899,-0.4754464015,1.0,7.0,0.4704465521,0.3317433422,0.0895428296,0.5120123999,0.8917592353,0.0,0.9558253681,-0.2583311806,6,0,6,0,19.355,0.069,0.069,0.848718,0.151282,0.553097,-0.0,-0.0,0.553097,1.808,0.0654,0.0654,1.06107,1.278079,29.0,36.0,78.0,0.10219,1.639856,-0.000169,14,19.405,19.405,19.3146,19.355,59900.0,454.0,19.358205,-0.0246329197,-0.0175594347,-0.0079498328,0.0004381739,60.4594849146,3.7584875628,68.9120339449,3.6761301085,18.8646192964,-0.4903807036,0.6807874695,-0.7203139387,19.3269616006,-0.0280383994,19.3276603493,-0.0273396507,True,0.0904,0.0506024132,0.0399,56452.4688920837,295.8442618294,-0.0028376132,0.0016794737,0.025,0.025,0.0395925596,26.7058777871,-10.2887445515,-0.0451884726,0.4765808971,-2.833832955,0.6149955728,0.9368586489,0.0030918986,-0.0091111414,0.437449339,-2.7941073604,0.6366612448,0.9343543129,0.0025775817
MARA,2025-01-03,7,274,Long,15:20:00,15:25:00,15:31:00,0,,19.445145998809583,19.32,19.445145998809583,2,106,1,106,Long Lose,-0.139007,-0.714867184402,0.010304,0.008703,6,0,0.0,1.0,,6.0,,0.94,5,1,6,0.0,-0.1390069677,0.0109930349,-0.1390069677,0.0,-0.7148671844,0.0565335684,-0.7148671844,5,11,6,11,0.1591567088,-0.1563801422,0.088955866,0.1027794125,1.7891648527,-1.5215123178,-0.1432850376,0.0560761398,-2.2409848077,-1.1566178006,-3.64965569,8.0,7.0,0.0,0.2629031325,-0.0662096957,-0.5402624132,0.1595060458,-0.5402624132,0.2058142526,-0.5917159763,3,11,0,11,19.435,0.069,0.069,0.910256,0.089744,0.72,-0.04753,0.0,0.72,1.388889,0.0,0.005,0.495963,0.918245,3.0,7.0,74.0,0.111111,1.843124,-0.000127,9,19.417,19.44,19.415,19.435,23682.0,176.0,19.433216,0.0329244892,0.0345081587,-0.0010703579,-0.0002566558,70.4915861912,0.9327672899,67.8211611064,-4.66390443,18.8789980616,0.5560019384,0.6743973737,0.8244426211,19.3505091433,0.0844908567,19.3540388847,0.0809611153,True,0.025,0.039708277,0.04,47749.5619924003,278.5672150693,0.0007721014,0.0010203375,0.025,0.02,0.0432436616,48.4712102373,15.0578983947,-0.3438815121,0.4909630172,-2.8567898963,-1.0,0.925678105,0.0034502957,-0.3159418921,0.4059640944,-2.827485835,-1.0,0.8916798,0.0026811612
MARA,2025-01-06,0,169,Long,12:58:00,12:58:00,13:02:00,1,13:00:00,20.39527928113356,20.34,20.459358441380793,5,108,32,145,Long Lose,-13.669259,-0.461020772948,1.543106,1.266152,4,3,75.0,4.0,1.0,4.0,3.0,100.0,3,4,5,1.6174949162,-13.6692585918,3.357462066,-14.2092494451,0.1200413316,-0.4610207729,0.2491718603,-0.4792329531,3,4,3,4,0.2933225206,-0.485193068,0.1158451102,0.1723765693,2.5320233201,-2.8147274888,0.0981609539,0.1521294102,0.8977146452,3.0081319745,-2.3255497831,1.0,4.0,0.3143446664,0.7631824611,-0.1147531264,-0.1986754967,0.3973509934,-0.1986754967,0.6622516556,-0.4169732647,3,4,3,0,20.385,0.094875,0.094875,0.533333,0.466667,1.0,0.0,0.0,1.0,1.0,0.055,0.055,1.586722,0.974208,1.0,24.0,15.0,0.179487,1.141025,2.2e-05,7,20.3,20.385,20.3,20.385,114865.0,408.0,20.344444,0.0561636314,0.043226329,0.0108273233,0.0010549896,70.3900638431,5.5345234966,69.3161794591,4.3382368485,20.1915453548,0.1934546452,0.169307788,1.142621066,20.2305901515,0.1544098485,20.2360565233,0.1489434767,True,0.085,0.0579657068,0.055,72391.3740149426,330.1324037685,0.004592329,0.0019234476,0.03,0.03,0.0595003141,43.1927218194,41.0055614447,-0.3748350322,0.4654298349,-2.7068382287,-1.0,0.9067230994,0.0112139521,-0.3456922456,0.4020599428,-2.5447832984,-1.0,0.8844865839,0.0058228514
MARA,2025-01-06,1,228,Short,13:46:00,13:46:00,13:54:00,0,,20.25468578386038,20.34,20.25240783737447,3,96,47,96,Short Lose,-6.200687,-0.501918633167,0.647708,0.532979,8,0,0.0,1.0,,8.0,,63.54,4,8,9,0.0,-6.2006871246,0.0,-6.8106828012,0.0,-0.5019186332,0.0,-0.5512951281,0,8,0,8,0.1822982572,0.1194281197,0.1528558764,0.0902602425,1.1926153024,1.3231531006,-0.019545674,0.0463721337,-0.3736678292,3.7029496017,-2.8623779521,4.0,8.0,0.0112387954,0.2406773908,0.0350610057,-0.3276003276,0.0917675616,-0.3276003276,0.1411049604,-0.5002812232,4,8,0,0,20.2686,0.0684825,0.0684825,0.65641,0.34359,0.703077,-0.0,-0.0,0.703077,1.422319,0.1,0.1071,2.890058,1.300394,1.0,1.0,13.0,0.321429,0.924443,-0.000215,9,20.36,20.37,20.24,20.2686,138678.0,533.0,20.288725,0.0173056879,0.0078493884,0.0013715131,0.0040423932,38.7996139331,10.1574794316,30.8837978341,11.4112895037,20.2095461864,-0.0590538136,0.1728543377,-0.3416391767,20.3576810342,0.0890810342,20.3568001302,0.0882001302,False,0.13,0.0516447567,0.04,47984.4988015084,241.5029643502,-0.0040080214,0.0014591838,0.03,0.0229,0.0397147052,27.7022792504,32.3020828854,-0.2338167142,0.4648512375,-2.9289298399,-0.9323593689,0.8928988231,0.013084544,-0.1983334471,0.432735216,-2.8919975241,-0.7976959084,0.8995181304,0.005660027
MARA,2025-01-06,3,204,Long,14:23:00,14:23:00,14:32:00,0,,20.325191239769737,20.23,20.334189045376473,4,112,15,112,Long Lose,-4.728202,-0.581311873069,0.419072,0.34913,9,0,0.0,1.0,,9.0,,35.71,5,5,8,0.0,-4.7282022085,0.1748961547,-5.3277144521,0.0,-0.5813118731,0.0296650123,-0.6550192929,0,9,2,8,0.1403990376,0.1214643481,0.0668336629,0.070165155,2.1007233712,1.731120641,-0.0268465412,0.0698312293,0.2001234101,5.0267391611,-1.9333970602,1.0,9.0,0.0442914379,0.1431154414,0.0440887553,-0.3790302732,0.1225695299,-0.3790302732,0.1722864878,-0.492247108,5,9,2,8,20.315,0.060375,0.060375,0.751282,0.248718,0.501002,0.0,0.0,0.501002,1.996,0.0249,0.0249,0.98727,0.816654,1.0,3.0,7.0,0.101124,2.337265,-0.000205,9,20.29,20.33,20.2801,20.315,55531.0,325.0,20.307025,0.0191276807,0.01522057,0.0020570974,0.0009250066,61.3465886295,4.2349122175,42.8613859512,2.6972072749,20.2118520227,0.1031479773,0.1688860616,0.6107548272,20.262677923,0.052322077,20.2638555119,0.0511444881,True,0.0499,0.036517442,0.035,56247.0190970805,208.9214949439,0.0014778328,0.0009660024,0.025,0.025,0.0447159482,27.2861094003,19.4403740884,-0.0770829051,0.4609766908,-2.9477196057,-0.8726183319,0.9465539214,0.0095644812,-0.1353985893,0.4600650111,-2.9116160717,-0.9051025148,0.9593438243,0.0096335295
MARA,2025-01-06,4,261,Short,14:33:00,14:33:00,14:36:00,0,,20.184771683586938,20.28,20.184771683586938,2,143,14,143,Short Lose,-1.52867,-0.540955782442,0.14644,0.122229,3,0,0.0,1.0,,3.0,,9.79,0,2,3,0.0,-1.5286696543,0.0,-1.6560686611,0.0,-0.5409557824,0.0,-0.5860389233,0,3,0,3,0.1297175441,0.0939409586,0.1349299503,0.0641518443,0.9613695393,1.4643532004,-0.0939750653,0.0571527606,-2.0877547233,-0.9818311752,-2.9494333977,1.0,2.0,0.0,0.1831964041,0.092660403,-0.3664073757,0.0,-0.3664073757,0.0549611064,-0.4604849451,0,3,0,3,20.1961,0.08625,0.08625,0.776923,0.223077,0.585333,-0.0,-0.0,0.585333,1.708428,0.025,0.04,2.57885,1.360587,18.0,18.0,15.0,0.142857,0.926088,0.000696,6,20.24,20.26,20.185,20.1961,184883.0,489.0,20.20474,0.0224565791,0.0064835314,0.0091994152,0.0033868163,37.2386828339,7.3589758671,34.0103626373,13.2338163484,20.2127162897,0.0166162897,0.1677555062,0.0990506365,20.2728419258,0.0767419258,20.2752901767,0.0791901767,False,0.075,0.0525820011,0.0352,71692.0399516228,281.0367188035,-0.0020725088,0.0013773579,0.05,0.035,0.0386465558,37.3665374377,26.4223417068,-0.3318125246,0.4237267462,-2.9252463648,-1.0,0.8922627639,0.009158904,-0.3422729513,0.4747416023,-2.9201865379,-0.9979930983,0.9192115094,0.0165355054
